,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
10,50157,New York City Police Department,Noise from Neighbor,Report a noisy neighbor.,New York City Police Department Noise from Neighbor Report a noisy neighbor.,new york city police department noise from neighbor report a noisy neighbor.,new york city police department noise neighbor report noisy neighbor,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.1779}"
11,50016,Department of Housing Preservation and Development,Apartment Maintenance Complaint,Report a maintenance problem inside an apartment.,Department of Housing Preservation and Development Apartment Maintenance Complaint Report a maintenance problem inside an apartment.,department of housing preservation and development apartment maintenance complaint report a maintenance problem inside an apartment.,department housing preservation development apartment maintenance complaint report maintenance problem inside apartment,"{'neg': 0.329, 'neu': 0.671, 'pos': 0.0, 'compound': -0.5994}"
12,49176,New York City Police Department,Vehicle Blocking Driveway Complaint,Report a vehicle that is blocking a driveway.,New York City Police Department Vehicle Blocking Driveway Complaint Report a vehicle that is blocking a driveway.,new york city police department vehicle blocking driveway complaint report a vehicle that is blocking a driveway.,new york city police department vehicle blocking driveway complaint report vehicle blocking driveway,"{'neg': 0.425, 'neu': 0.575, 'pos': 0.0, 'compound': -0.7506}"
13,47190,Department of Finance,Find a Towed Vehicle - Plate Number Known,Location of a vehicle that may have been towed. Must know license plate number.,Department of Finance Find a Towed Vehicle - Plate Number Known Location of a vehicle that may have been towed. Must know license plate number.,department of finance find a towed vehicle - plate number known location of a vehicle that may have been towed. must know license plate number.,department finance find towed vehicle plate number known location vehicle may towed must know license plate number,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.1531}"
14,46995,Department of Sanitation,Bulk Item Pick Up - Appointment,Schedule pickup appointment for non-recyclable bulk items larger than 4 feet by 3 feet.,Department of Sanitation Bulk Item Pick Up - Appointment Schedule pickup appointment for non-recyclable bulk items larger than 4 feet by 3 feet.,department of sanitation bulk item pick up - appointment schedule pickup appointment for non-recyclable bulk items larger than 4 feet by 3 feet.,department sanitation waste bulk item pick appointment schedule pickup appointment nonrecyclable bulk items larger feet feet,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.4215}"
15,46408,,Birth Certificate Order,Get a copy of a birth certificate., Birth Certificate Order Get a copy of a birth certificate., birth certificate order get a copy of a birth certificate.,birth certificate order get copy birth certificate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,45637,,"Missed Garbage, Recycling, or Organics Collection","Report that garbage, recycling, organics, or bulk items were not picked up on your service day or scheduled appointment."," Missed Garbage, Recycling, or Organics Collection Report that garbage, recycling, organics, or bulk items were not picked up on your service day or scheduled appointment."," missed garbage, recycling, or organics collection report that garbage, recycling, organics, or bulk items were not picked up on your service day or scheduled appointment.","missed garbage, recycling, organics collection report garbage, recycling, organics, bulk items picked service day scheduled appointment","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}"
17,39599,3-1-1 Call Center,City Worker or Agency Complaint or Compliment,Complaint or compliment about a City agency or a specific employee.,3-1-1 Call Center City Worker or Agency Complaint or Compliment Complaint or compliment about a City agency or a specific employee.,3-1-1 call center city worker or agency complaint or compliment complaint or compliment about a city agency or a specific employee.,call center city worker agency complaint commendation complaint commendation city agency specific employee,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5267}"
18,39496,Department of Housing Preservation and Development,Heat or Hot Water Complaint in Entire Residential Building,Report inadequate heat in an apartment building between October 1 and May 31. Report no hot water any time.,Department of Housing Preservation and Development Heat or Hot Water Complaint in Entire Residential Building Report inadequate heat in an apartment building between October 1 and May 31. Report no hot water any time.,department of housing preservation and development heat or hot water complaint in entire residential building report inadequate heat in an apartment building between october 1 and may 31. report no hot water any time.,department housing preservation development heat hot water complaint entire residential building report inadequate heat apartment building october may report hot water time,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.5994}"
19,38371,,Illegal Parking,Report a non-emergency vehicle parked illegally or the improper use of a parking permit., Illegal Parking Report a non-emergency vehicle parked illegally or the improper use of a parking permit., illegal parking report a non-emergency vehicle parked illegally or the improper use of a parking permit.,illegal parking vehicles report nonemergency vehicle parked illegally improper use parking vehicles permit,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5574}"
20,36737,,Towed Vehicle,Find a towed vehicle and get it back or stop a tow in progress., Towed Vehicle Find a towed vehicle and get it back or stop a tow in progress., towed vehicle find a towed vehicle and get it back or stop a tow in progress.,towed vehicle find towed vehicle get back stop tow progress,"{'neg': 0.169, 'neu': 0.615, 'pos': 0.215, 'compound': 0.1531}"
21,36264,3-1-1 Call Center,Division Transfer,Hidden service for activity coding.,3-1-1 Call Center Division Transfer Hidden service for activity coding.,3-1-1 call center division transfer hidden service for activity coding.,call center division transfer hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,35845,New York City Police Department,Illegal Parking Complaint,Report a non-emergency illegally parked vehicle.,New York City Police Department Illegal Parking Complaint Report a non-emergency illegally parked vehicle.,new york city police department illegal parking complaint report a non-emergency illegally parked vehicle.,new york city police department illegal parking vehicles complaint report nonemergency illegally parked vehicle,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.7003}"
23,34002,Department of Sanitation,Bulk Item Disposal Information,Learn about throwing away a large item that does not fit in a garbage bin or bag.,Department of Sanitation Bulk Item Disposal Information Learn about throwing away a large item that does not fit in a garbage bin or bag.,department of sanitation bulk item disposal information learn about throwing away a large item that does not fit in a garbage bin or bag.,department sanitation waste bulk item disposal information learn throwing away large item fit garbage bin bag,"{'neg': 0.145, 'neu': 0.725, 'pos': 0.13, 'compound': -0.0772}"
24,33733,,CFC and Freon Removal,"Schedule an appointment for curbside disposal of appliances with chlorofluorocarbon gas, including refrigerators and air conditioners."," CFC and Freon Removal Schedule an appointment for curbside disposal of appliances with chlorofluorocarbon gas, including refrigerators and air conditioners."," cfc and freon removal schedule an appointment for curbside disposal of appliances with chlorofluorocarbon gas, including refrigerators and air conditioners.","cfc freon removal schedule appointment curbside disposal appliances chlorofluorocarbon gas, including refrigerators air conditioners","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,32647,,Buses and Subways,Get information or make a complaint about a bus or subway run by the Metropolitan Transportation Authority (MTA)., Buses and Subways Get information or make a complaint about a bus or subway run by the Metropolitan Transportation Authority (MTA)., buses and subways get information or make a complaint about a bus or subway run by the metropolitan transportation authority (mta).,buses subways get information make complaint bus subway run metropolitan transit transportation authority mta,"{'neg': 0.142, 'neu': 0.774, 'pos': 0.084, 'compound': -0.2263}"
26,32461,Department of Housing Preservation and Development,Heat or Hot Water Complaint in Apartment,Report inadequate heat in an apartment between October 1 and May 31. Report no hot water any time.,Department of Housing Preservation and Development Heat or Hot Water Complaint in Apartment Report inadequate heat in an apartment between October 1 and May 31. Report no hot water any time.,department of housing preservation and development heat or hot water complaint in apartment report inadequate heat in an apartment between october 1 and may 31. report no hot water any time.,department housing preservation development heat hot water complaint apartment report inadequate heat apartment october may report hot water time,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.5994}"
27,31807,,Parking Ticket or Camera Violation Payment,Pay a parking ticket or camera violation., Parking Ticket or Camera Violation Payment Pay a parking ticket or camera violation., parking ticket or camera violation payment pay a parking ticket or camera violation.,parking vehicles ticket camera violation payment pay parking vehicles ticket camera violation,"{'neg': 0.464, 'neu': 0.536, 'pos': 0.0, 'compound': -0.7783}"
28,29399,New York City Police Department,Find a Police Precinct or PSA by Location,Find a precinct or police service area (PSA) for a specific address.,New York City Police Department Find a Police Precinct or PSA by Location Find a precinct or police service area (PSA) for a specific address.,new york city police department find a police precinct or psa by location find a precinct or police service area (psa) for a specific address.,new york city police department find police precinct psa location find precinct police service area psa specific address,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,28889,,City Agency or Worker Feedback,Give feedback on the service provided by City Agencies and their employees., City Agency or Worker Feedback Give feedback on the service provided by City Agencies and their employees., city agency or worker feedback give feedback on the service provided by city agencies and their employees.,city agency worker feedback give feedback service provided city agencies employees,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,28866,,Property Tax Bill,Learn about property tax bills and get copies and account information., Property Tax Bill Learn about property tax bills and get copies and account information., property tax bill learn about property tax bills and get copies and account information.,property building tax bill learn property building tax bills get copies account information,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
31,28578,Department of Sanitation,CFC and Freon Removal - Appointment,"An appointment is required to throw away a refrigerator, air conditioner, freezer, or any other device containing CFC gas.","Department of Sanitation CFC and Freon Removal - Appointment An appointment is required to throw away a refrigerator, air conditioner, freezer, or any other device containing CFC gas.","department of sanitation cfc and freon removal - appointment an appointment is required to throw away a refrigerator, air conditioner, freezer, or any other device containing cfc gas.","department sanitation waste cfc freon removal appointment appointment required throw away refrigerator, air conditioner, freezer, device containing cfc gas","{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.4215}"
32,28284,3-1-1 Call Center,Alert Information Provided,Hidden service for activity coding.,3-1-1 Call Center Alert Information Provided Hidden service for activity coding.,3-1-1 call center alert information provided hidden service for activity coding.,call center alert information provided hidden service activity coding,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}"
33,27196,Department of Health and Mental Hygiene,Birth Certificate from 1910 to Present,Request for a certified copy of a New York City birth certificate.,Department of Health and Mental Hygiene Birth Certificate from 1910 to Present Request for a certified copy of a New York City birth certificate.,department of health and mental hygiene birth certificate from 1910 to present request for a certified copy of a new york city birth certificate.,department health mental hygiene birth certificate present request certified copy new york city birth certificate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,24898,,Housing Court for Tenants and Landlords,"Learn about assistance for landlords and tenants with ongoing disputes, including eviction."," Housing Court for Tenants and Landlords Learn about assistance for landlords and tenants with ongoing disputes, including eviction."," housing court for tenants and landlords learn about assistance for landlords and tenants with ongoing disputes, including eviction.","housing court tenant housing rentals landlords learn assistance landlords tenant housing rentals ongoing disputes, including eviction","{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.6249}"
35,24817,,Directory Assistance,Get the phone number or address of a specific person or business., Directory Assistance Get the phone number or address of a specific person or business., directory assistance get the phone number or address of a specific person or business.,directory assistance get phone number address specific person business,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}"
36,24641,,Parking Ticket or Camera Violation Dispute,Fight a parking ticket or camera violation., Parking Ticket or Camera Violation Dispute Fight a parking ticket or camera violation., parking ticket or camera violation dispute fight a parking ticket or camera violation.,parking vehicles ticket camera violation dispute fight parking vehicles ticket camera violation,"{'neg': 0.594, 'neu': 0.406, 'pos': 0.0, 'compound': -0.8934}"
37,23773,,Property Tax Bill Assistance,Get help with a property tax bill problem., Property Tax Bill Assistance Get help with a property tax bill problem., property tax bill assistance get help with a property tax bill problem.,property building tax bill assistance get help property building tax bill problem,"{'neg': 0.175, 'neu': 0.649, 'pos': 0.175, 'compound': 0.0}"
38,22922,,Illegal Dumping,Report illegal dumping., Illegal Dumping Report illegal dumping., illegal dumping report illegal dumping.,illegal dumping waste report illegal dumping waste,"{'neg': 0.946, 'neu': 0.054, 'pos': 0.0, 'compound': -0.9468}"
39,22647,,Parking Ticket or Camera Violation Assistance,"Get help with a parking or camera violation payment, dispute, or status."," Parking Ticket or Camera Violation Assistance Get help with a parking or camera violation payment, dispute, or status."," parking ticket or camera violation assistance get help with a parking or camera violation payment, dispute, or status.","parking vehicles ticket camera violation assistance get help parking vehicles camera violation payment, dispute, status","{'neg': 0.399, 'neu': 0.482, 'pos': 0.118, 'compound': -0.7506}"
40,22589,3-1-1 Call Center,Contact Information - Directory Assistance,Request for the phone number or address of a specific person or business.,3-1-1 Call Center Contact Information - Directory Assistance Request for the phone number or address of a specific person or business.,3-1-1 call center contact information - directory assistance request for the phone number or address of a specific person or business.,call center contact information directory assistance request phone number address specific person business,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}"
41,22000,,Abandoned Vehicle,Report an abandoned vehicle on public property or request the removal of an abandoned vehicle with no license plates on private property., Abandoned Vehicle Report an abandoned vehicle on public property or request the removal of an abandoned vehicle with no license plates on private property., abandoned vehicle report an abandoned vehicle on public property or request the removal of an abandoned vehicle with no license plates on private property.,abandoned vehicle report abandoned vehicle public property building request removal abandoned vehicle license plates private property building,"{'neg': 0.391, 'neu': 0.609, 'pos': 0.0, 'compound': -0.8402}"
42,21856,New York City Police Department,Dangerous Location or Situation,Report a dangerous situation to 911.,New York City Police Department Dangerous Location or Situation Report a dangerous situation to 911.,new york city police department dangerous location or situation report a dangerous situation to 911.,new york city police department dangerous location situation report dangerous situation,"{'neg': 0.408, 'neu': 0.592, 'pos': 0.0, 'compound': -0.7351}"
43,21668,Department of Sanitation,Recycling and Trash Collection Schedules,Information about recycling and trash collection days for a specific residential or non-profit address.,Department of Sanitation Recycling and Trash Collection Schedules Information about recycling and trash collection days for a specific residential or non-profit address.,department of sanitation recycling and trash collection schedules information about recycling and trash collection days for a specific residential or non-profit address.,department sanitation waste recycling trash collection schedules information recycling trash collection days specific residential nonprofit address,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.4215}"
44,21216,,Police Precincts and PSAs,Find a precinct or police service area (PSA) for a specific address. Get precinct and PSA locations and contact information., Police Precincts and PSAs Find a precinct or police service area (PSA) for a specific address. Get precinct and PSA locations and contact information., police precincts and psas find a precinct or police service area (psa) for a specific address. get precinct and psa locations and contact information.,police precincts psas find precinct police service area psa specific address get precinct psa locations contact information,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,21072,Department of Correction,Jail System Complaint,"Complaint about the City jail system, including threats to inmates.","Department of Correction Jail System Complaint Complaint about the City jail system, including threats to inmates.","department of correction jail system complaint complaint about the city jail system, including threats to inmates.","department correction jail system complaint complaint city jail system, including threats inmates","{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.7351}"
46,21060,New York City Police Department,Division Transfer,Hidden service for activity coding.,New York City Police Department Division Transfer Hidden service for activity coding.,new york city police department division transfer hidden service for activity coding.,new york city police department division transfer hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,19189,,Property Tax Payment Assistance,Get help with a property tax payment problem., Property Tax Payment Assistance Get help with a property tax payment problem., property tax payment assistance get help with a property tax payment problem.,property building tax payment assistance get help property building tax payment problem,"{'neg': 0.175, 'neu': 0.649, 'pos': 0.175, 'compound': 0.0}"
48,18912,Department of Finance,Find a Towed Vehicle - Plate Number Unknown - NYPD,Find the location of a vehicle that may have been towed if you have less than $350 in parking or camera violation judgment debt. NYPD may have towed the vehicle.,Department of Finance Find a Towed Vehicle - Plate Number Unknown - NYPD Find the location of a vehicle that may have been towed if you have less than $350 in parking or camera violation judgment debt. NYPD may have towed the vehicle.,department of finance find a towed vehicle - plate number unknown - nypd find the location of a vehicle that may have been towed if you have less than $350 in parking or camera violation judgment debt. nypd may have towed the vehicle.,department finance find towed vehicle plate number unknown nypd find location vehicle may towed less parking vehicles camera violation judgment debt nypd may towed vehicle,"{'neg': 0.197, 'neu': 0.759, 'pos': 0.045, 'compound': -0.6597}"
49,18388,Department of Sanitation,Missed Garbage Collection,Report that garbage was not collected on the scheduled day.,Department of Sanitation Missed Garbage Collection Report that garbage was not collected on the scheduled day.,department of sanitation missed garbage collection report that garbage was not collected on the scheduled day.,department sanitation waste missed garbage collection report garbage collected scheduled day,"{'neg': 0.357, 'neu': 0.643, 'pos': 0.0, 'compound': -0.6124}"
50,17943,New York City Police Department,Find a Police Precinct or PSA by Name,Find a specific precinct or police service area (PSA).,New York City Police Department Find a Police Precinct or PSA by Name Find a specific precinct or police service area (PSA).,new york city police department find a police precinct or psa by name find a specific precinct or police service area (psa).,new york city police department find police precinct psa name find specific precinct police service area psa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,17322,,Towed Vehicle Reclaim from NYPD,Reclaim a vehicle towed or in the process of being towed by the New York Police Department., Towed Vehicle Reclaim from NYPD Reclaim a vehicle towed or in the process of being towed by the New York Police Department., towed vehicle reclaim from nypd reclaim a vehicle towed or in the process of being towed by the new york police department.,towed vehicle reclaim nypd reclaim vehicle towed process towed new york police department,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,17143,Department of Sanitation,E-Waste Pickup Appointment,Schedule an electronics pickup appointment.,Department of Sanitation E-Waste Pickup Appointment Schedule an electronics pickup appointment.,department of sanitation e-waste pickup appointment schedule an electronics pickup appointment.,department sanitation waste ewaste pickup appointment schedule electronics pickup appointment,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}"
53,17080,Metropolitan Transportation Authority,Bus or Subway - Information and Complaint,Information or complaint about City buses and subways.,Metropolitan Transportation Authority Bus or Subway - Information and Complaint Information or complaint about City buses and subways.,metropolitan transportation authority bus or subway - information and complaint information or complaint about city buses and subways.,metropolitan transit transportation authority bus subway information complaint information complaint city buses subways,"{'neg': 0.28, 'neu': 0.637, 'pos': 0.083, 'compound': -0.4767}"
54,16848,New York City Police Department,Hot Transfer 911,Requires immediate transfer to 911.,New York City Police Department Hot Transfer 911 Requires immediate transfer to 911.,new york city police department hot transfer 911 requires immediate transfer to 911.,new york city police department hot transfer requires immediate transfer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,16567,,"Garbage, Recycling, and Organics Collection","Learn about garbage, recycling, and organics collection days for a residential or non-profit address."," Garbage, Recycling, and Organics Collection Learn about garbage, recycling, and organics collection days for a residential or non-profit address."," garbage, recycling, and organics collection learn about garbage, recycling, and organics collection days for a residential or non-profit address.","garbage, recycling, organics collection learn garbage, recycling, organics collection days residential nonprofit address","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,16274,,Noise from Street or Sidewalk,"Report noise from the street or sidewalk, including traffic."," Noise from Street or Sidewalk Report noise from the street or sidewalk, including traffic."," noise from street or sidewalk report noise from the street or sidewalk, including traffic.","noise street sidewalk report noise street sidewalk, including traffic","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,16011,,Department of Finance Business Centers,"Find places to pay parking tickets, camera violations, and property taxes and get related services."," Department of Finance Business Centers Find places to pay parking tickets, camera violations, and property taxes and get related services."," department of finance business centers find places to pay parking tickets, camera violations, and property taxes and get related services.","department finance business centers find places pay parking vehicles tickets, camera violations, property building taxes get related services","{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5859}"
58,15881,New York Courts,Housing Court Information for Tenant and Landlord Disputes,"Information and assistance is available for landlords and tenants with an ongoing dispute, including eviction.","New York Courts Housing Court Information for Tenant and Landlord Disputes Information and assistance is available for landlords and tenants with an ongoing dispute, including eviction.","new york courts housing court information for tenant and landlord disputes information and assistance is available for landlords and tenants with an ongoing dispute, including eviction.","new york courts housing court information tenant housing rental landlord disputes information assistance available landlords tenant housing rentals ongoing dispute, including eviction","{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.7783}"
59,15656,,Electronics Disposal,Learn how to get rid of electronics., Electronics Disposal Learn how to get rid of electronics., electronics disposal learn how to get rid of electronics.,electronics disposal learn get rid electronics,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,15453,,Jail System Complaint,"Report a problem with the New York City jail system, including threats to inmates."," Jail System Complaint Report a problem with the New York City jail system, including threats to inmates."," jail system complaint report a problem with the new york city jail system, including threats to inmates.","jail system complaint report problem new york city jail system, including threats inmates","{'neg': 0.435, 'neu': 0.565, 'pos': 0.0, 'compound': -0.7717}"
61,15408,3-1-1 Call Center,Outside of 311 Jurisdiction,Hidden service for activity coding.,3-1-1 Call Center Outside of 311 Jurisdiction Hidden service for activity coding.,3-1-1 call center outside of 311 jurisdiction hidden service for activity coding.,call center outside juriction hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,15151,,HPD Building Information and Code Enforcement Borough Service Centers,Get help with Department of Housing Preservation and Development (HPD) complaints., HPD Building Information and Code Enforcement Borough Service Centers Get help with Department of Housing Preservation and Development (HPD) complaints., hpd building information and code enforcement borough service centers get help with department of housing preservation and development (hpd) complaints.,hpd building information inspection code enforcement violation borough service centers get help department housing preservation development hpd complaints,"{'neg': 0.25, 'neu': 0.636, 'pos': 0.114, 'compound': -0.4939}"
63,14880,,Traffic or Pedestrian Signal Complaint,Report a problem with a traffic or Walk/Don't Walk signal., Traffic or Pedestrian Signal Complaint Report a problem with a traffic or Walk/Don't Walk signal., traffic or pedestrian signal complaint report a problem with a traffic or walk/don't walk signal.,traffic pedestrian signal complaint report problem traffic walkdont walk signal,"{'neg': 0.38, 'neu': 0.62, 'pos': 0.0, 'compound': -0.5994}"
64,14857,,Property Deed or Record,"Search for or get copies of property ownership records, such as deeds and mortgages."," Property Deed or Record Search for or get copies of property ownership records, such as deeds and mortgages."," property deed or record search for or get copies of property ownership records, such as deeds and mortgages.","property building deed record search get copies property building ownership records, deeds mortgages","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
65,14739,,Fair Fares NYC Card Replacement,"Report a Fair Fares MetroCard that is lost, stolen, damaged, or not working and learn how to get a replacement."," Fair Fares NYC Card Replacement Report a Fair Fares MetroCard that is lost, stolen, damaged, or not working and learn how to get a replacement."," fair fares nyc card replacement report a fair fares metrocard that is lost, stolen, damaged, or not working and learn how to get a replacement.","fair fares nyc card replacement report fair fares metrocard lost, stolen, damaged, working learn get replacement","{'neg': 0.35, 'neu': 0.458, 'pos': 0.192, 'compound': -0.5859}"
66,14286,Department of Education,Public School Calendar,Calendar for New York City public schools.,Department of Education Public School Calendar Calendar for New York City public schools.,department of education public school calendar calendar for new york city public schools.,department education public school calendar calendar new york city public schools,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,14268,,Building Construction Complaint,"Report building construction that is noisy, unsafe, done after hours, or done without a permit."," Building Construction Complaint Report building construction that is noisy, unsafe, done after hours, or done without a permit."," building construction complaint report building construction that is noisy, unsafe, done after hours, or done without a permit.","building construction complaint report building construction noisy, unsafe, done hours, done without permit","{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.4404}"
68,13684,,Rent Freeze Program Assistance,"Get help with SCRIE or DRIE, including appeals, transfers, and rent and account updates."," Rent Freeze Program Assistance Get help with SCRIE or DRIE, including appeals, transfers, and rent and account updates."," rent freeze program assistance get help with scrie or drie, including appeals, transfers, and rent and account updates.","rent freeze program assistance get help scrie drie, including appeals, transfers, rent account updates","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.4404}"
69,13549,,Dangerous Location or Situation,Report a situation that might cause danger to life or personal property., Dangerous Location or Situation Report a situation that might cause danger to life or personal property., dangerous location or situation report a situation that might cause danger to life or personal property.,dangerous location situation report situation might cause danger life personal property building,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.7579}"
70,13378,,City-Issued Violation or Summons,Pay or get help with a notice of violation issued by a City Agency., City-Issued Violation or Summons Pay or get help with a notice of violation issued by a City Agency., city-issued violation or summons pay or get help with a notice of violation issued by a city agency.,cityissued violation summons pay get help notice violation issued city agency,"{'neg': 0.446, 'neu': 0.4, 'pos': 0.154, 'compound': -0.6249}"
