,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores,neg,neu,pos,compound
31,1461,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,Department of Buildings Building/Use Illegal Conversion Of Residential Building/Space,department of buildings building/use illegal conversion of residential building/space,department buildings building use illegal conversion residential building space,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}",0.31,0.69,0.0,-0.5574
32,1453,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,Department of Housing Preservation and Development PLUMBING WATER SUPPLY,department of housing preservation and development plumbing water supply,department housing preservation development plumbing water supply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
33,1444,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,Department of Housing Preservation and Development PLUMBING BASIN/SINK,department of housing preservation and development plumbing basin/sink,department housing preservation development plumbing basin sink,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
34,1417,Department of Sanitation,Missed Collection (All Materials),1 Missed Collection,Department of Sanitation Missed Collection (All Materials) 1 Missed Collection,department of sanitation missed collection (all materials) 1 missed collection,department sanitation waste missed collection waste materials missed collection waste,"{'neg': 0.719, 'neu': 0.281, 'pos': 0.0, 'compound': -0.8957}",0.719,0.281,0.0,-0.8957
35,1239,Department of Buildings,General Construction/Plumbing,Building Permit - None,Department of Buildings General Construction/Plumbing Building Permit - None,department of buildings general construction/plumbing building permit - none,department buildings general construction plumbing building permit none,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
36,1137,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,New York City Police Department Noise - Street/Sidewalk Loud Music/Party,new york city police department noise - street/sidewalk loud music/party,new york city police department noise street sidewalk loud music party,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",0.0,0.787,0.213,0.4019
37,1122,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Department of Sanitation Dirty Conditions E3 Dirty Sidewalk,department of sanitation dirty conditions e3 dirty sidewalk,department sanitation waste dirty unsanitary conditions e dirty unsanitary sidewalk,"{'neg': 0.589, 'neu': 0.411, 'pos': 0.0, 'compound': -0.8225}",0.589,0.411,0.0,-0.8225
38,1085,Department of Environmental Protection,Water System,Dirty Water (WE),Department of Environmental Protection Water System Dirty Water (WE),department of environmental protection water system dirty water (we),department environmental protection water system dirty unsanitary water,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",0.293,0.707,0.0,-0.4404
39,1076,New York City Police Department,Noise - Residential,Loud Talking,New York City Police Department Noise - Residential Loud Talking,new york city police department noise - residential loud talking,new york city police department noise residential loud talking,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
40,1049,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Department of Health and Mental Hygiene Rodent Rat Sighting,department of health and mental hygiene rodent rat sighting,department health mental hygiene public health rodent rats pest control rat sighting,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
41,1038,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),Department of Environmental Protection Sewer Sewer Backup (Use Comments) (SA),department of environmental protection sewer sewer backup (use comments) (sa),department environmental protection sewer sewer backup use comments sa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
42,1019,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Department of Transportation Sidewalk Condition Sidewalk Violation,department of transportation sidewalk condition sidewalk violation,department transit transportation sidewalk condition sidewalk violation,"{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.4939}",0.348,0.652,0.0,-0.4939
43,1018,Department of Homeless Services,Homeless Person Assistance,,Department of Homeless Services Homeless Person Assistance ,department of homeless services homeless person assistance ,department homeless services homeless person assistance,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
44,961,HRA Benefit Card Replacement,Benefit Card Replacement,Medicaid,HRA Benefit Card Replacement Benefit Card Replacement Medicaid,hra benefit card replacement benefit card replacement medicaid,hra benefit card replacement benefit card replacement medicaid,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7184}",0.0,0.5,0.5,0.7184
45,959,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,Department of Housing Preservation and Development PLUMBING BATHTUB/SHOWER,department of housing preservation and development plumbing bathtub/shower,department housing preservation development plumbing bathtub shower,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
46,929,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,Department of Housing Preservation and Development APPLIANCE ELECTRIC/GAS RANGE,department of housing preservation and development appliance electric/gas range,department housing preservation development appliance electric gas range,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
47,909,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,Department of Housing Preservation and Development UNSANITARY CONDITION GARBAGE/RECYCLING STORAGE,department of housing preservation and development unsanitary condition garbage/recycling storage,department housing preservation development unsanitary condition garbage recycling storage,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
48,894,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),Department of Environmental Protection Lead Lead Kit Request (Residential) (L10),department of environmental protection lead lead kit request (residential) (l10),department environmental protection lead lead kit request residential l,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
49,844,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,Department of Buildings Elevator Elevator - Single Device On Property/No Alternate Service,department of buildings elevator elevator - single device on property/no alternate service,department buildings elevator elevator single device property building alternate service,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
50,824,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)","Department of Environmental Protection Noise Noise, Barking Dog (NR5)","department of environmental protection noise noise, barking dog (nr5)","department environmental protection noise noise, barking dog animal nr","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
51,824,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,New York City Police Department Illegal Parking Double Parked Blocking Traffic,new york city police department illegal parking double parked blocking traffic,new york city police department illegal parking vehicles double parked blocking traffic,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.7351}",0.383,0.617,0.0,-0.7351
52,774,Department of Housing Preservation and Development,PLUMBING,TOILET,Department of Housing Preservation and Development PLUMBING TOILET,department of housing preservation and development plumbing toilet,department housing preservation development plumbing toilet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
53,751,Department of Housing Preservation and Development,PLUMBING,RADIATOR,Department of Housing Preservation and Development PLUMBING RADIATOR,department of housing preservation and development plumbing radiator,department housing preservation development plumbing radiator,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
54,748,Department of Sanitation,Sanitation Condition,12 Dead Animals,Department of Sanitation Sanitation Condition 12 Dead Animals,department of sanitation sanitation condition 12 dead animals,department sanitation waste sanitation waste condition dead animals,"{'neg': 0.664, 'neu': 0.336, 'pos': 0.0, 'compound': -0.872}",0.664,0.336,0.0,-0.872
55,716,New York City Police Department,Illegal Parking,Blocked Bike Lane,New York City Police Department Illegal Parking Blocked Bike Lane,new york city police department illegal parking blocked bike lane,new york city police department illegal parking vehicles blocked bike lane,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.6908}",0.388,0.612,0.0,-0.6908
56,715,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),Department of Environmental Protection Noise Noise: Construction Equipment (NC1),department of environmental protection noise noise: construction equipment (nc1),department environmental protection noise noise construction equipment nc,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
57,699,Department of Sanitation,Missed Collection (All Materials),1R Missed Recycling-All Materials,Department of Sanitation Missed Collection (All Materials) 1R Missed Recycling-All Materials,department of sanitation missed collection (all materials) 1r missed recycling-all materials,department sanitation waste missed collection waste materials r missed recyclingall materials,"{'neg': 0.625, 'neu': 0.375, 'pos': 0.0, 'compound': -0.8402}",0.625,0.375,0.0,-0.8402
58,690,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Department of Transportation Sidewalk Condition Broken Sidewalk,department of transportation sidewalk condition broken sidewalk,department transit transportation sidewalk condition broken sidewalk,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}",0.341,0.659,0.0,-0.4767
59,682,New York City Police Department,Noise - Vehicle,Car/Truck Horn,New York City Police Department Noise - Vehicle Car/Truck Horn,new york city police department noise - vehicle car/truck horn,new york city police department noise vehicle car truck horn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
60,678,Department of Parks and Recreation,New Tree Request,For One Address,Department of Parks and Recreation New Tree Request For One Address,department of parks and recreation new tree request for one address,department parks parks recreation parks recreation new tree request one address,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
61,671,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Taxi and Limousine Commission Taxi Complaint Driver Complaint,taxi and limousine commission taxi complaint driver complaint,taxi limousine commission taxi complaint driver complaint,"{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.5267}",0.468,0.532,0.0,-0.5267
62,666,Department of Housing Preservation and Development,GENERAL,COOKING GAS,Department of Housing Preservation and Development GENERAL COOKING GAS,department of housing preservation and development general cooking gas,department housing preservation development general cooking gas,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
63,645,Department of Housing Preservation and Development,GENERAL,CABINET,Department of Housing Preservation and Development GENERAL CABINET,department of housing preservation and development general cabinet,department housing preservation development general cabinet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
64,642,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,Department of Housing Preservation and Development ELECTRIC NO LIGHTING,department of housing preservation and development electric no lighting,department housing preservation development electric lighting,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
65,629,New York City Police Department,Noise - Vehicle,Engine Idling,New York City Police Department Noise - Vehicle Engine Idling,new york city police department noise - vehicle engine idling,new york city police department noise vehicle engine idling,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
66,623,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,New York City Police Department Noise - Street/Sidewalk Loud Talking,new york city police department noise - street/sidewalk loud talking,new york city police department noise street sidewalk loud talking,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
67,622,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,Department of Housing Preservation and Development ELECTRIC OUTLET/SWITCH,department of housing preservation and development electric outlet/switch,department housing preservation development electric outlet switch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
68,613,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,Department of Housing Preservation and Development GENERAL BELL/BUZZER/INTERCOM,department of housing preservation and development general bell/buzzer/intercom,department housing preservation development general bell buzzer intercom,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
69,610,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),Department of Environmental Protection Water System Hydrant Leaking (WC1),department of environmental protection water system hydrant leaking (wc1),department environmental protection water system hydrant leaking wc,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
70,605,Department of Environmental Protection,Water System,No Water (WNW),Department of Environmental Protection Water System No Water (WNW),department of environmental protection water system no water (wnw),department environmental protection water system water wnw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
71,590,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,New York City Police Department Illegal Parking Double Parked Blocking Vehicle,new york city police department illegal parking double parked blocking vehicle,new york city police department illegal parking vehicles double parked blocking vehicle,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.7351}",0.383,0.617,0.0,-0.7351
72,579,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Taxi and Limousine Commission For Hire Vehicle Complaint Driver Complaint,taxi and limousine commission for hire vehicle complaint driver complaint,taxi limousine commission hire vehicle complaint driver complaint,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.5267}",0.423,0.577,0.0,-0.5267
73,557,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),Department of Environmental Protection Sewer Catch Basin Clogged/Flooding (Use Comments) (SC),department of environmental protection sewer catch basin clogged/flooding (use comments) (sc),department environmental protection sewer catch basin clogged flooding use comments sc,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
74,557,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),Department of Environmental Protection Water System Possible Water Main Break (Use Comments) (WA1),department of environmental protection water system possible water main break (use comments) (wa1),department environmental protection water system possible water main break use comments wa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
75,548,Department of Sanitation,Missed Collection (All Materials),2 Bulk-Missed Collection,Department of Sanitation Missed Collection (All Materials) 2 Bulk-Missed Collection,department of sanitation missed collection (all materials) 2 bulk-missed collection,department sanitation waste missed collection waste materials bulkmissed collection waste,"{'neg': 0.639, 'neu': 0.361, 'pos': 0.0, 'compound': -0.8625}",0.639,0.361,0.0,-0.8625
76,530,Department for the Aging,Housing - Low Income Senior,N/A,Department for the Aging Housing - Low Income Senior N/A,department for the aging housing - low income senior n/a,department aging housing low income senior n,"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.2732}",0.296,0.704,0.0,-0.2732
77,528,Department of Environmental Protection,Water System,Hydrant Running (WC3),Department of Environmental Protection Water System Hydrant Running (WC3),department of environmental protection water system hydrant running (wc3),department environmental protection water system hydrant running wc,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
78,510,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,Department of Housing Preservation and Development ELECTRIC POWER OUTAGE,department of housing preservation and development electric power outage,department housing preservation development electric power outage,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
79,501,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,Department of Housing Preservation and Development WATER LEAK DAMP SPOT,department of housing preservation and development water leak damp spot,department housing preservation development water leak damp spot,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",0.255,0.745,0.0,-0.34
80,471,New York City Police Department,Noise - Vehicle,Car/Truck Music,New York City Police Department Noise - Vehicle Car/Truck Music,new york city police department noise - vehicle car/truck music,new york city police department noise vehicle car truck music,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
81,465,Personal Exemption Unit,DOF Property - Reduction Issue,Personal SCHE Exemption,Personal Exemption Unit DOF Property - Reduction Issue Personal SCHE Exemption,personal exemption unit dof property - reduction issue personal sche exemption,personal exemption unit dof property building reduction issue personal sche exemption,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
82,460,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,Department of Buildings Elevator Elevator - Multiple Devices On Property,department of buildings elevator elevator - multiple devices on property,department buildings elevator elevator multiple devices property building,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
83,458,Department of Transportation,Broken Parking Meter,No Receipt,Department of Transportation Broken Parking Meter No Receipt,department of transportation broken parking meter no receipt,department transit transportation broken parking vehicles meter receipt,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}",0.307,0.693,0.0,-0.4767
84,454,New York City Police Department,Animal Abuse,Neglected,New York City Police Department Animal Abuse Neglected,new york city police department animal abuse neglected,new york city police department animal abuse neglected,"{'neg': 0.559, 'neu': 0.441, 'pos': 0.0, 'compound': -0.8225}",0.559,0.441,0.0,-0.8225
85,452,Department of Transportation,Street Condition,Cave-in,Department of Transportation Street Condition Cave-in,department of transportation street condition cave-in,department transit transportation street condition cavein,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
86,448,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,Department of Housing Preservation and Development APPLIANCE REFRIGERATOR,department of housing preservation and development appliance refrigerator,department housing preservation development appliance refrigerator,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
